2026-02-24T11:18:04.022381509Z [inf]  Starting Container
2026-02-24T11:18:06.159976312Z [err]  2026-02-24 11:18:06,152 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:06 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'19'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e8f69c9dbb8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Location', b'/app_settings?key=eq.use_vertex_ai&select=value'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5e-de29-7ea4-ad37-63e00e5f197f'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'17'), (b'Set-Cookie', b'__cf_bm=nGFDLKtD287HrurN4zBmAoBJzGghxSdLU1VQ0Mnka90-1771931886-1.0.1.1-VP5pkFDHEc5FP5anwN8JJ7HhdQ.AjkSi8HTZayHTRo.wOfacn8jGuhUe9P8yIx7.7dWYQeLjld98A0Mk7YzD.4R9yYo4vDthc.RnctrV3fM; path=/; expires=Tue, 24-Feb-26 11:48:06 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None'), (b'Vary', b'Accept-Encoding'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:06.159983722Z [err]  2026-02-24 11:18:06,153 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/app_settings?select=value&key=eq.use_vertex_ai "HTTP/1.1 200 OK"
2026-02-24T11:18:06.159988412Z [err]  2026-02-24 11:18:06,153 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:06.159993836Z [err]  2026-02-24 11:18:06,154 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:06.159999265Z [err]  2026-02-24 11:18:06,154 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:06.160003870Z [err]  2026-02-24 11:18:06,154 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:06.160010439Z [err]  2026-02-24 11:18:06,154 - services.gemini_client_factory - INFO - [CLIENT_FACTORY] use_vertex_ai resolved from DB: False
2026-02-24T11:18:06.161977667Z [err]  2026-02-24 11:18:06,154 - services.gemini_client_factory - INFO - [CLIENT_FACTORY] Creating Gemini API client (with retry + connection pool tuning)
2026-02-24T11:18:07.943497351Z [err]  2026-02-24 11:18:07,329 - services.webhook_service - INFO - ✅ Webhook service initialized: urls=[https://gdzlmnphhrwyqblmghgl.supabase.co/functions/v1/local-engine-webhook, https://wwnwucerlindpibsilgc.supabase.co/functions/v1/local-engine-webhook], token=configured, timeout=10s, max_retries=3
2026-02-24T11:18:07.943509277Z [err]  2026-02-24 11:18:07,683 - main - DEBUG - CORS configured with allowed origins: ['http://localhost:3000', 'https://stage.1hat.in', 'https://sandbox.1hat.in', 'http://localhost:8000', 'http://localhost:8080', 'https://admin-staging.1hat.ai', 'https://1hat-admin-ggfo5zr00-1hat.vercel.app', 'https://1hat-admin-env-staging-1hat.vercel.app', 'https://dashboard.1hat.in', 'https://sandbox.1hat.ai', 'https://stage.1hat.ai']
2026-02-24T11:18:07.943593689Z [err]  2026-02-24 11:18:07,686 - main - DEBUG - ✅ Authentication middleware enabled
2026-02-24T11:18:08.011683320Z [err]  INFO:     Started server process [1]
2026-02-24T11:18:08.011691625Z [err]  INFO:     Waiting for application startup.
2026-02-24T11:18:08.019563221Z [err]  2026-02-24 11:18:08,010 - main - INFO - Starting Gemini Audio Transcriber Backend...
2026-02-24T11:18:08.019571811Z [err]  2026-02-24 11:18:08,011 - main - INFO - Python FastAPI version running
2026-02-24T11:18:08.019580675Z [err]  2026-02-24 11:18:08,011 - main - DEBUG - ✅ Required environment variables validated
2026-02-24T11:18:08.019588123Z [err]  2026-02-24 11:18:08,011 - main - INFO - ✅ FFmpeg found - FFmpeg stitching available for hospitals with it enabled
2026-02-24T11:18:08.023225293Z [err]  2026-02-24 11:18:08,021 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:08.023364907Z [err]  2026-02-24 11:18:08,021 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:08.023374789Z [err]  2026-02-24 11:18:08,021 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:08.023385324Z [err]  2026-02-24 11:18:08,021 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:08.023399200Z [err]  2026-02-24 11:18:08,021 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:08.796753008Z [err]  2026-02-24 11:18:08,465 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Tue, 24 Feb 2026 11:18:08 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=42'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-02-24T11:18:08.797225207Z [err]  2026-02-24 11:18:08,397 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:08 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Content-Range', b'0-14/*'), (b'CF-Ray', b'9d2e8f7c2bbab8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Content-Location', b'/models_master?is_active=eq.True&select=model_id%2Cinput_price_per_million%2Coutput_price_per_million%2Ccached_input_price_per_million%2Caudio_price_per_minute%2Cthinking_price_per_million%2Cthinking_budgets'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5e-e9a1-76e7-aab3-5697daa670f7'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'21'), (b'Server', b'cloudflare'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:08.797231193Z [err]  2026-02-24 11:18:08,397 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/models_master?select=model_id%2Cinput_price_per_million%2Coutput_price_per_million%2Ccached_input_price_per_million%2Caudio_price_per_minute%2Cthinking_price_per_million%2Cthinking_budgets&is_active=eq.True "HTTP/1.1 200 OK"
2026-02-24T11:18:08.797241815Z [err]  2026-02-24 11:18:08,397 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:08.797247878Z [err]  2026-02-24 11:18:08,397 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:08.797253724Z [err]  2026-02-24 11:18:08,398 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:08.797259997Z [err]  2026-02-24 11:18:08,398 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:08.797361223Z [err]  2026-02-24 11:18:08,398 - services.llm_usage_service - INFO - [PRICING] Loaded 15 model prices from DB (cache refreshed)
2026-02-24T11:18:08.797367980Z [err]  2026-02-24 11:18:08,398 - main - INFO - ✅ Loaded 15 model prices from DB
2026-02-24T11:18:08.797374851Z [err]  2026-02-24 11:18:08,399 - main - INFO - ✅ Chunk memory cleanup task started
2026-02-24T11:18:08.797382000Z [err]  2026-02-24 11:18:08,409 - httpcore.connection - DEBUG - connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-02-24T11:18:08.797388373Z [err]  2026-02-24 11:18:08,412 - httpcore.connection - DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7f38b1f61110>
2026-02-24T11:18:08.797395022Z [err]  2026-02-24 11:18:08,412 - httpcore.connection - DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x7f392df196d0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-02-24T11:18:08.797401961Z [err]  2026-02-24 11:18:08,418 - httpcore.connection - DEBUG - start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7f3931e1c910>
2026-02-24T11:18:08.797408478Z [err]  2026-02-24 11:18:08,418 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:08.797414842Z [err]  2026-02-24 11:18:08,418 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:08.797420993Z [err]  2026-02-24 11:18:08,418 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:08.797427528Z [err]  2026-02-24 11:18:08,418 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:08.797470494Z [err]  2026-02-24 11:18:08,418 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:08.797642808Z [err]  2026-02-24 11:18:08,465 - httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models?pageSize=1 "HTTP/1.1 200 OK"
2026-02-24T11:18:08.797649487Z [err]  2026-02-24 11:18:08,466 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:08.797656034Z [err]  2026-02-24 11:18:08,467 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:08.797662579Z [err]  2026-02-24 11:18:08,467 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:08.797669360Z [err]  2026-02-24 11:18:08,467 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:08.797675283Z [err]  2026-02-24 11:18:08,468 - services.gemini_client_factory - INFO - [CLIENT_FACTORY] Connection pool warmed up (verified model: models/gemini-2.5-flash)
2026-02-24T11:18:08.797681983Z [err]  2026-02-24 11:18:08,469 - main - INFO - ✅ Gemini API connection pool warmed up
2026-02-24T11:18:08.797687707Z [err]  2026-02-24 11:18:08,469 - main - INFO - Backend startup complete
2026-02-24T11:18:08.797693257Z [err]  INFO:     Application startup complete.
2026-02-24T11:18:08.797699649Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-02-24T11:18:38.283698754Z [inf]  INFO:     100.64.0.2:22616 - "OPTIONS /api/v1/summary/templates?doctor_id=da838cda-47f9-494f-9dcd-6072e7e96d47&filter_type=doctor HTTP/1.1" 200 OK
2026-02-24T11:18:38.283705239Z [err]  2026-02-24 11:18:31,611 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.283712147Z [err]  2026-02-24 11:18:31,612 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.283719403Z [err]  2026-02-24 11:18:31,612 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.283726764Z [err]  2026-02-24 11:18:31,612 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:38.283733774Z [err]  2026-02-24 11:18:31,612 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.283740470Z [err]  2026-02-24 11:18:31,985 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:31 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e900f9d56b8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Content-Location', b'/api_clients?api_key_prefix=eq.ehr_xm6g&is_active=eq.True&select=%2A'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-45c7-75fa-8b78-766a180c4753'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'18'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:38.283746897Z [err]  2026-02-24 11:18:31,985 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/api_clients?select=%2A&api_key_prefix=eq.ehr_xm6g&is_active=eq.True "HTTP/1.1 200 OK"
2026-02-24T11:18:38.285885118Z [err]  2026-02-24 11:18:31,985 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.285901940Z [err]  2026-02-24 11:18:31,986 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:38.285912321Z [err]  2026-02-24 11:18:31,986 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:38.285924456Z [err]  2026-02-24 11:18:31,986 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:38.285935120Z [err]  2026-02-24 11:18:32,306 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.285943155Z [err]  2026-02-24 11:18:32,306 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.285950495Z [err]  2026-02-24 11:18:32,306 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.285957647Z [err]  2026-02-24 11:18:32,306 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:38.285964889Z [err]  2026-02-24 11:18:32,306 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.285972183Z [err]  2026-02-24 11:18:32,673 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:32 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'30'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e9013ea7ab8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Location', b'/api_clients?id=eq.9a3b97e0-ce16-4418-8dd3-185aaeb30b9f&select=rate_limit_per_hour'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-4880-76bd-88b0-316e4977f0d2'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'3'), (b'Vary', b'Accept-Encoding'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:38.287572105Z [err]  2026-02-24 11:18:32,673 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/api_clients?select=rate_limit_per_hour&id=eq.9a3b97e0-ce16-4418-8dd3-185aaeb30b9f "HTTP/1.1 200 OK"
2026-02-24T11:18:38.287579523Z [err]  2026-02-24 11:18:32,673 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.287584467Z [err]  2026-02-24 11:18:32,674 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:38.287590397Z [err]  2026-02-24 11:18:32,674 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:38.287595515Z [err]  2026-02-24 11:18:32,674 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:38.287600263Z [err]  2026-02-24 11:18:32,675 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'POST']>
2026-02-24T11:18:38.287605190Z [err]  2026-02-24 11:18:32,675 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.287609862Z [err]  2026-02-24 11:18:32,675 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'POST']>
2026-02-24T11:18:38.287614116Z [err]  2026-02-24 11:18:32,675 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:38.287619506Z [err]  2026-02-24 11:18:32,675 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'POST']>
2026-02-24T11:18:38.287624054Z [err]  2026-02-24 11:18:33,036 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:33 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'1'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e90163d4eb8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-49f0-7d28-830f-734ab3ec7cc4'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'4'), (b'Vary', b'Accept-Encoding'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:38.290277871Z [err]  2026-02-24 11:18:33,447 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:33 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Content-Encoding', b'gzip'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e90188fa4b8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Location', b'/doctors?id=eq.da838cda-47f9-494f-9dcd-6072e7e96d47&limit=1&select=hospital_id'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-4b5b-7e83-9a1e-56861b1f7cc2'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'3'), (b'Vary', b'Accept-Encoding'), (b'Server', b'cloudflare'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:38.290336326Z [err]  2026-02-24 11:18:33,036 - httpx - INFO - HTTP Request: POST https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/rpc/get_client_request_count_last_hour "HTTP/1.1 200 OK"
2026-02-24T11:18:38.290344158Z [err]  2026-02-24 11:18:33,036 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'POST']>
2026-02-24T11:18:38.290350861Z [err]  2026-02-24 11:18:33,036 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:38.290358071Z [err]  2026-02-24 11:18:33,036 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:38.290364588Z [err]  2026-02-24 11:18:33,036 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:38.290371017Z [err]  2026-02-24 11:18:33,038 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.290378692Z [err]  2026-02-24 11:18:33,038 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.290385189Z [err]  2026-02-24 11:18:33,038 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.290392873Z [err]  2026-02-24 11:18:33,039 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:38.290400751Z [err]  2026-02-24 11:18:33,039 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.291999259Z [err]  2026-02-24 11:18:33,447 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/doctors?select=hospital_id&id=eq.da838cda-47f9-494f-9dcd-6072e7e96d47&limit=1 "HTTP/1.1 200 OK"
2026-02-24T11:18:38.292009734Z [err]  2026-02-24 11:18:33,448 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.292015448Z [err]  2026-02-24 11:18:33,448 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:38.292020803Z [err]  2026-02-24 11:18:33,448 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:38.292028469Z [err]  2026-02-24 11:18:33,448 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:38.292033652Z [err]  2026-02-24 11:18:33,450 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.292039476Z [err]  2026-02-24 11:18:33,451 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.292063851Z [err]  2026-02-24 11:18:33,451 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.292070796Z [err]  2026-02-24 11:18:33,451 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:38.292075647Z [err]  2026-02-24 11:18:33,451 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.292080219Z [err]  2026-02-24 11:18:33,452 - httpcore.connection - DEBUG - connect_tcp.started host='sicvgpofrpzchnjuaqxa.supabase.co' port=443 local_address=None timeout=30.0 socket_options=None
2026-02-24T11:18:38.292086231Z [err]  2026-02-24 11:18:33,454 - httpcore.connection - DEBUG - connect_tcp.started host='sicvgpofrpzchnjuaqxa.supabase.co' port=443 local_address=None timeout=30.0 socket_options=None
2026-02-24T11:18:38.292091319Z [err]  2026-02-24 11:18:33,456 - httpcore.connection - DEBUG - connect_tcp.started host='sicvgpofrpzchnjuaqxa.supabase.co' port=443 local_address=None timeout=30.0 socket_options=None
2026-02-24T11:18:38.293943049Z [err]  2026-02-24 11:18:33,457 - httpcore.connection - DEBUG - connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f38b1f91e10>
2026-02-24T11:18:38.293952871Z [err]  2026-02-24 11:18:33,457 - httpcore.connection - DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x7f392df191c0> server_hostname='sicvgpofrpzchnjuaqxa.supabase.co' timeout=30.0
2026-02-24T11:18:38.293959896Z [err]  2026-02-24 11:18:33,458 - httpcore.connection - DEBUG - connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f38b1f92990>
2026-02-24T11:18:38.293966186Z [err]  2026-02-24 11:18:33,458 - httpcore.connection - DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x7f392df191c0> server_hostname='sicvgpofrpzchnjuaqxa.supabase.co' timeout=30.0
2026-02-24T11:18:38.293972999Z [err]  2026-02-24 11:18:33,458 - httpcore.connection - DEBUG - connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f38b1f93010>
2026-02-24T11:18:38.293979083Z [err]  2026-02-24 11:18:33,458 - httpcore.connection - DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x7f392df191c0> server_hostname='sicvgpofrpzchnjuaqxa.supabase.co' timeout=30.0
2026-02-24T11:18:38.293985823Z [err]  2026-02-24 11:18:33,464 - httpcore.connection - DEBUG - start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f38b1f92b10>
2026-02-24T11:18:38.293992639Z [err]  2026-02-24 11:18:33,464 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.293998252Z [err]  2026-02-24 11:18:33,464 - httpcore.connection - DEBUG - start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f38b1f91fd0>
2026-02-24T11:18:38.294004909Z [err]  2026-02-24 11:18:33,464 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:38.294011240Z [err]  2026-02-24 11:18:33,464 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.296387754Z [err]  2026-02-24 11:18:33,465 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:38.296393492Z [err]  2026-02-24 11:18:33,465 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:38.296400678Z [err]  2026-02-24 11:18:33,465 - httpcore.connection - DEBUG - start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f38b226c210>
2026-02-24T11:18:38.296406813Z [err]  2026-02-24 11:18:33,465 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
